Filename,(Real)Time_Start,(Real)Time_End,Duration,NumSyllables,Intensity,HNR,AlphaRatio,Mean_f0,Sd_f0,Max_F0,speakingrate,articulationrate,npause,asd,Mean_f0_Interval_1,Mean_f0_Interval_2,Mean_f0_Interval_3,Mean_f0_Interval_4,Mean_f0_Interval_5,Mean_f0_Interval_6,Mean_f0_Interval_7,Mean_f0_Interval_8,Mean_f0_Interval_9,Mean_f0_Interval_10,Mean_f0_Interval_11,Mean_f0_Interval_12,Mean_f0_Interval_13,Mean_f0_Interval_14,Mean_f0_Interval_15
robotic_user10_trial_19_participant,0,4.38,4.38,,71.77002333612823,13.41511122459829,13.972404894530339,223.08650903568537,33.40311627855433,319.9573036313352,3.20,4.46,1,0.224,--undefined--,284.27524176450254,260.2986822130166,254.87735719711202,254.87735719711202,254.87735719711202,254.87735719711202,249.1294663291797,242.37215403609895,240.001520061292,236.97323790486837,231.94466733520906,227.5521373247307,223.08501092647734,223.08501092647734
robotic_user10_trial_20_participant,0,4.5,4.5,,72.18967389977507,12.642386088236256,13.091051599551884,215.58524158109512,55.2139060074601,332.5348660738214,3.78,4.60,0,0.217,--undefined--,244.1939510887338,243.75541769810857,243.49618745021056,258.85924684025315,257.06135203469313,249.97945085403015,231.8641999023278,231.07036343413787,230.3275365665811,228.92507697436125,226.91137085922455,223.87669565123701,215.4952757032937,215.4952757032937
robotic_user13_practice_participant,0,2.64,2.64,,72.97904519224275,7.154986754343466,15.433595466494971,181.00225885691577,40.90323876097967,241.2642152266344,2.65,3.71,0,0.270,--undefined--,--undefined--,--undefined--,--undefined--,207.64341452421888,205.74820194201686,214.65471932889085,206.15361163956078,199.17593541025647,189.70781365507105,189.70781365507105,188.52903281474747,186.28298981307267,186.28298981307267,180.88546231236305
robotic_user13_trial_01_participant,0,3.54,3.54,,72.24132697814943,8.515906900251448,13.379838406438349,184.49360885320536,34.04953326339164,274.45728989828297,2.82,3.41,0,0.293,--undefined--,--undefined--,221.9751906371745,210.7912907252744,221.92456131248215,209.13616660381,203.02203808934954,200.2709972605752,194.0604397517601,191.10153264781493,188.64251000984765,184.2654047808322,184.35462065528003,184.35462065528003,184.35462065528003
robotic_user13_trial_02_participant,0,3.84,3.84,,72.70182851412441,10.455253560940502,11.35857487367911,177.4709145614366,36.09679355572926,321.93103902578343,4.17,5.39,1,0.185,--undefined--,--undefined--,233.8452893543798,234.4510350070245,215.83595151741727,209.93874743734884,201.4391587224934,197.90487948952193,192.97740399892243,193.50506794718999,184.46144239227326,181.75322798091327,179.10759438861444,178.4515138118502,177.13553020899636
robotic_user13_trial_03_participant,0,4.44,4.44,,73.31265088434128,9.019121752784644,12.675905154632192,180.99179800996077,31.595372395748782,248.16977510481146,4.28,5.35,0,0.187,--undefined--,--undefined--,203.57659567439194,215.18267071731353,217.29516992772432,210.91255802988644,204.5581498427377,198.97325418575866,196.76825964121613,192.47575606483466,188.99664907216172,184.8653939066828,181.33535163669666,180.70388746352015,180.70388746352015
robotic_user13_trial_04_participant,0,4.26,4.26,,72.5600522558135,8.715755035383935,11.156909147464727,172.24537056102386,33.59875702590806,242.35937755020237,3.05,3.98,0,0.251,--undefined--,--undefined--,192.46846391218497,201.36389391454037,200.85293477818402,198.57091977294735,191.4437532958347,186.47373340230138,177.24350950320172,176.46234283488434,175.4946772356321,172.26424756154384,172.26424756154384,172.26424756154384,172.26424756154384
robotic_user13_trial_05_participant,0,3.3,3.3,,71.81632633514467,7.739084766638187,10.623152702553893,176.12273306798963,41.31177394241023,259.1009570772631,3.03,3.76,0,0.266,--undefined--,--undefined--,--undefined--,204.49778522434988,215.24947838375164,211.21965091176057,193.01622406348218,190.71403536579436,189.2128818860228,184.1174986278994,182.07208512143737,180.66855678310196,176.12205145971066,176.12205145971066,176.12205145971066
robotic_user13_trial_06_participant,0,3.6,3.6,,74.153180028827,8.248926479092813,10.640543803121714,180.3000531232835,41.96158073920433,329.007393042852,3.89,5.24,0,0.191,--undefined--,327.5412962483812,216.93548797993,218.7853677332155,212.59429132462117,205.52046052005363,197.84291150294342,195.76651819712274,194.0058890810525,187.94225577175362,183.44142993649558,182.72670967257378,181.95931734249712,180.4312612819505,180.4312612819505
robotic_user13_trial_07_participant,0,4.08,4.08,,70.68860419304023,9.658064443293366,11.468144575792085,171.15251871524734,33.55795932022789,231.40222667038253,2.94,3.47,0,0.288,--undefined--,--undefined--,211.80139812227767,206.38472058197374,203.06486877991765,198.60384925388826,196.1173299295546,194.5879352454486,186.8925878999704,183.9626374728348,182.85254753039032,180.33959869562148,176.31450134879043,171.55987650439428,171.55987650439428
